Spectrum,Weighted_Mean_Age,Bootstrap_Uncertainty
sn2004bo-20040511.23-fast_snid,30.13,0.37
sn1997do-19971126.37-fast_snid,13.50,0.28
snf20080522-011-20080531.25-fast_snid,-0.77,0.17
sn2008C-20080212.27-fast_snid,29.46,0.43
sn2002do-20020619.43-fast_snid,-0.93,0.16
sn2003eh-20030526.18-fast_snid,14.88,9.39
sn2001az-20010529.35-fast_snid,30.51,0.73
sn2005cc-20050711.17-fast_snid,40.86,0.98
sn2001da-20010719.47-fast_snid,-0.08,0.18
sn1998aq-19980531.20-fast_snid,32.18,0.38
sn1999cp-19990619.19-fast_snid,-1.25,0.17
sn2008bf-20080607.19-fast_snid,46.45,1.47
sn2003kf-20031128.43-fast_snid,-2.02,0.19
sn1997do-19971205.35-mmt_snid,27.97,0.58
sn2001E-20010119.49-fast_snid,-0.30,0.19
sn2001es-20011013.34-fast_snid,11.92,0.67
sn2006ac-20060221.43-fast_snid,3.44,0.20
sn2003kf-20040130.29-fast_snid,38.27,0.85
sn2001ec-20010915.45-fast_snid,26.34,0.84
sn2006bt-20060429.41-fast_snid,-2.08,0.20
sn1997cn-19970605.30-fast_snid,27.67,0.42
sn1998bu-19980626.17-fast_snid,34.03,0.52
sn2003W-20030202.30-fast_snid,-2.65,0.17
sn2006gj-20060924.46-fast_snid,0.93,0.17
snf20080514-002-20080605.16-fast_snid,12.02,0.41
sn2004fu-20041214.09-fast_snid,30.62,0.38
sn2006gz-20061022.09-fast_snid,5.38,0.21
sn2003ch-20030410.17-fast_snid,15.61,0.20
sn2002he-20021104.50-mmt_snid,-1.22,0.15
sn2005am-20050330.16-fast_snid,28.72,0.40
sn2007bc-20070511.18-fast_snid,30.23,0.35
sn2004dt-20041212.18-fast_snid,85.30,6.51
sn2001E-20010225.37-fast_snid,34.73,0.52
sn2007le-20071109.18-fast_snid,16.47,0.49
sn2001C-20010318.13-fast_snid,39.83,1.25
sn2001if-20011218.20-fast_snid,18.43,0.45
sn2004as-20040323.26-fast_snid,-0.09,0.19
sn1999gh-20000110.42-fast_snid,36.42,0.51
sn2003kf-20040216.18-fast_snid,48.23,1.62
sn1998ab-19980419.29-fast_snid,7.09,0.50
sn2003it-20031123.14-fast_snid,31.51,0.40
sn2003it-20031020.23-fast_snid,-1.83,0.16
sn2001fh-20011118.07-fast_snid,4.03,0.19
sn2007le-20071107.16-fast_snid,13.73,0.37
sn2004bd-20040426.23-fast_snid,26.48,0.43
sn2006S-20060206.48-fast_snid,-1.21,0.16
sn2001V-20010225.30-fast_snid,-5.13,0.38
sn1997br-19970501.27-fast_snid,13.21,0.24
sn2008Z-20080302.25-fast_snid,14.82,0.95
sn1997E-19970116.25-fast_snid,-1.62,0.16
sn2002fk-20021228.25-fast_snid,72.76,1.85
sn1998es-19981119.28-fast_snid,-3.79,0.34
sn2007bj-20070613.29-fast_snid,41.25,1.53
sn2006X-20060227.44-fast_snid,6.82,0.24
sn2007fs-20070909.33-fast_snid,40.62,0.79
sn2005M-20050409.19-fast_snid,36.52,0.59
sn2006X-20060221.40-fast_snid,0.30,0.21
sn2002bo-20020319.34-fast_snid,-0.78,0.16
sn2007ci-20070612.19-fast_snid,29.28,0.36
sn2003kc-20031229.44-fast_snid,32.22,0.45
sn2006cf-20060604.22-fast_snid,26.34,0.73
sn2002dj-20020615.17-fast_snid,-0.74,0.17
sn1999gh-19991207.53-fast_snid,7.62,0.26
sn1996by-19970109.33-fast_snid,15.90,0.33
sn2007fs-20070915.23-fast_snid,42.28,0.98
sn1998bp-19980602.35-fast_snid,30.25,0.40
sn2006S-20060202.47-fast_snid,-1.52,0.17
sn2002bo-20020414.17-fast_snid,29.94,0.62
sn1999ac-19990608.38-fast_snid,51.26,1.24
sn2002fk-20030106.16-fast_snid,82.95,2.24
sn2007at-20070320.38-ldss3_snid,17.42,0.51
sn2004ef-20040909.24-fast_snid,-2.30,0.20
sn2003ch-20030403.16-fast_snid,2.02,0.23
sn1998de-19980730.46-fast_snid,0.02,0.23
sn2003W-20030312.27-fast_snid,32.24,0.43
sn2003kd-20031220.17-mmt_snid,29.53,0.35
sn2003hu-20030930.16-fast_snid,7.57,0.29
sn2001ed-20010911.43-fast_snid,32.47,0.53
sn2006gz-20061023.09-fast_snid,7.22,0.20
sn2006le-20061125.36-fast_snid,19.49,0.76
sn2002de-20020605.41-fast_snid,-1.87,0.18
sn1998eg-19981113.19-fast_snid,30.03,0.86
sn2003cg-20030427.18-fast_snid,30.96,0.43
sn1998bu-19980602.20-fast_snid,21.53,0.83
sn2007kk-20071104.33-fast_snid,28.39,0.50
sn2008af-20080301.49-fast_snid,30.69,0.40
sn2003ic-20030928.30-fast_snid,2.07,0.43
sn2003ai-20030329.40-mmt_snid,29.22,0.84
sn2007bd-20070412.18-fast_snid,-1.62,0.16
sn2002do-20020706.20-fast_snid,25.89,0.57
sn2003kf-20040118.25-fast_snid,34.95,0.55
sn2003ep-20030704.31-mmt_snid,50.47,2.11
sn2006H-20060204.11-fast_snid,26.58,0.43
sn2006gr-20061023.18-fast_snid,22.64,0.68
snf20080514-002-20080531.18-fast_snid,-0.18,0.16
sn1995D-19951202.44-mmt_snid,196.17,12.33
sn2001de-20010724.43-fast_snid,0.01,0.18
sn2006je-20061019.38-fast_snid,30.17,0.40
sn2003eh-20030523.17-fast_snid,11.64,5.28
sn2007kg-20071006.39-fast_snid,62.04,7.23
sn2007kk-20071106.38-fast_snid,29.51,0.51
sn2001fe-20011119.47-fast_snid,-1.21,0.17
sn2000cv-20000726.17-fast_snid,25.27,0.57
sn2005eq-20051205.24-fast_snid,35.92,0.54
sn2006S-20060203.47-fast_snid,-1.49,0.16
sn2007bm-20070425.19-fast_snid,-1.30,0.16
sn2001bs-20010524.36-mmt_snid,-1.89,0.28
sn2005cc-20050531.20-fast_snid,6.13,1.14
sn2005cf-20050614.31-fast_snid,-1.80,0.17
sn1996by-19970108.33-fast_snid,15.74,0.33
sn2005el-20051005.49-fast_snid,-1.26,0.15
sn1999gh-19991206.53-fast_snid,5.01,0.22
sn2000dk-20010126.16-mmt_snid,109.20,7.05
sn2008A-20080203.10-fast_snid,28.75,0.45
sn2002cd-20020413.48-fast_snid,-1.58,0.18
sn1997br-19970702.17-mmt_snid,45.06,1.10
sn2007bm-20070423.23-fast_snid,-1.31,0.17
sn1997dt-19971129.11-fast_snid,-1.70,0.16
snf20080522-011-20080612.25-fast_snid,15.73,0.73
sn2003iz-20031023.28-fast_snid,1.91,0.18
sn2000B-20000202.24-fast_snid,15.63,0.37
sn2006ax-20060326.29-fast_snid,-1.55,0.17
sn2001bp-20010525.39-mmt_snid,3.93,0.20
sn2007fb-20070908.28-fast_snid,41.42,1.05
sn1998bn-19980502.24-fast_snid,-1.84,0.15
sn2003ch-20030330.16-fast_snid,-0.64,0.16
sn2004bj-20040425.28-fast_snid,-1.70,0.26
snf20080522-011-20080623.05-ldss3_snid,27.54,0.58
sn2002dj-20020614.17-fast_snid,-0.53,0.17
sn1995al-19951121.45-fast_snid,13.53,0.26
sn2007af-20070318.41-fast_snid,0.09,0.16
sn1994M-19940507.29-fast_snid,-0.90,0.18
sn2007hj-20070913.33-fast_snid,8.52,0.30
sn2002jy-20021229.08-fast_snid,-1.34,0.16
sn1998es-19981118.28-fast_snid,-5.15,0.33
sn2001ep-20011016.45-fast_snid,-1.17,0.15
sn2005A-20050110.11-ldss2_snid,0.54,0.21
sn2007af-20070314.44-fast_snid,-1.26,0.16
sn2004fu-20041202.07-fast_snid,17.96,0.48
sn2004as-20040315.31-fast_snid,-1.65,0.18
sn2001da-20010912.32-fast_snid,35.64,0.87
sn2005cf-20050709.23-fast_snid,31.62,0.40
sn2002bf-20020317.33-fast_snid,14.01,0.28
sn2000fa-20001203.44-mmt_snid,-3.12,0.22
sn2006lf-20061222.24-fast_snid,38.91,0.68
sn2000fa-20001225.42-fast_snid,11.95,0.25
sn1998bp-19980430.47-fast_snid,-0.91,0.17
sn2001ic-20011218.11-fast_snid,17.77,0.45
sn2001bg-20010525.14-fast_snid,17.67,0.52
sn2006sr-20061227.09-fast_snid,-0.41,0.15
sn2007af-20070313.45-fast_snid,-1.44,0.16
sn1998ab-19980403.38-fast_snid,-6.93,0.33
sn1997bq-19970414.21-fast_snid,-1.10,0.17
sn2007S-20070221.32-fast_snid,3.25,0.20
sn2002kf-20030107.30-fast_snid,0.95,0.17
sn2007at-20070319.44-fast_snid,15.84,0.65
sn2007sr-20080402.32-fast_snid,86.43,4.85
sn1999cc-19990605.35-fast_snid,30.22,0.46
sn2006N-20060223.18-fast_snid,30.01,0.38
sn2003kf-20031228.31-fast_snid,24.24,0.74
sn2003fd-20030630.24-fast_snid,13.00,4.76
sn1997bp-19970409.29-fast_snid,-1.03,0.18
sn2008bf-20080401.29-fast_snid,-1.38,0.16
sn1998aq-19981214.54-fast_snid,196.95,9.54
sn1998ef-19981024.30-fast_snid,-1.78,0.16
sn2006bk-20060421.30-fast_snid,32.08,0.55
sn2003if-20031121.26-ldss2_snid,191.14,10.82
sn2006gz-20061002.15-fast_snid,-1.64,0.22
sn1999gp-20000110.11-fast_snid,-0.83,0.16
sn1999ek-19991030.47-fast_snid,-1.18,0.16
sn2006al-20060224.34-fast_snid,0.10,0.16
sn1997do-19971107.51-fast_snid,-1.89,0.15
sn2002ck-20020515.29-fast_snid,22.37,0.80
sn2002bs-20020404.39-fast_snid,10.17,0.25
sn1999cl-19990606.18-fast_snid,-1.25,0.19
sn2007ci-20070525.19-fast_snid,-0.39,0.17
sn2002cd-20020414.49-fast_snid,-1.54,0.16
sn2005cf-20050704.23-fast_snid,30.51,0.55
sn2002cr-20020519.18-fast_snid,-0.21,0.15
sn1997bp-19970508.15-fast_snid,33.19,0.60
sn2005hk-20051208.12-fast_snid,29.43,0.37
sn2007ci-20070614.18-fast_snid,28.32,0.39
sn2005mc-20051227.37-fast_snid,-0.63,0.17
sn2006le-20061119.40-fast_snid,11.39,0.30
sn1998bu-19980715.17-fast_snid,44.39,1.04
sn2001br-20010618.44-mmt_snid,29.19,0.39
sn1998aq-19980427.29-fast_snid,-2.04,0.16
sn2007sw-20080111.54-fast_snid,7.09,0.22
sn2005cc-20050607.20-fast_snid,32.00,0.60
sn2006N-20060202.20-fast_snid,5.20,0.40
sn2001eh-20010920.33-fast_snid,-1.35,0.15
sn2005ao-20050308.52-fast_snid,-1.01,0.17
sn2007au-20070319.26-fast_snid,-1.54,0.17
sn1998aq-19980718.18-fast_snid,64.44,1.91
sn1998co-19980722.40-fast_snid,30.55,0.39
sn1998bp-19980518.36-fast_snid,28.84,0.38
sn1995bd-19960125.23-fast_snid,24.18,0.76
sn2000B-20000226.28-fast_snid,34.89,0.59
sn2001eh-20010926.37-fast_snid,5.77,0.26
sn2001V-20010518.24-fast_snid,40.02,1.07
sn2006X-20060304.51-fast_snid,13.66,0.26
sn1997Y-19970302.35-fast_snid,31.51,0.43
sn2006X-20060404.33-fast_snid,34.19,1.17
sn1998bp-19980502.47-fast_snid,-0.22,0.17
sn2003ic-20030929.35-fast_snid,3.05,0.41
sn2001ay-20010430.36-fast_snid,6.18,0.31
sn2007le-20071017.25-fast_snid,-2.62,0.18
sn2003W-20030303.37-fast_snid,26.18,0.71
sn1997dt-19971206.11-fast_snid,-0.55,0.17
sn2003fd-20030625.21-fast_snid,4.76,0.21
sn2004gs-20050118.36-fast_snid,32.67,0.42
sn2001V-20010426.33-mmt_snid,35.44,0.67
sn1996by-19961217.37-fast_snid,-1.32,0.18
sn1995al-19951123.54-fast_snid,15.77,0.41
sn2006X-20060721.16-fast_snid,146.13,8.08
sn2007ux-20080111.39-mmt_snid,25.80,0.52
sn2006ac-20060228.36-fast_snid,16.14,0.43
sn1998dx-19980914.18-fast_snid,-0.79,0.18
sn1998de-19980725.46-fast_snid,-0.94,0.37
sn2002ey-20020913.29-fast_snid,11.83,0.41
sn2000cp-20000624.34-fast_snid,-0.93,0.16
sn2003W-20030207.40-fast_snid,-0.81,0.18
sn1998V-19980401.50-fast_snid,19.19,0.61
sn2002es-20020905.50-fast_snid,14.03,0.50
sn2003kc-20040118.43-mmt_snid,35.30,0.49
sn2003F-20030110.22-fast_snid,-1.84,0.15
sn1999ac-19990407.46-fast_snid,31.47,0.45
sn2002bf-20020315.22-fast_snid,12.15,0.27
sn2007co-20070620.34-fast_snid,2.74,0.18
sn2006bu-20060505.19-fast_snid,0.25,0.18
sn2001ck-20010617.29-fast_snid,-0.09,0.16
sn2006X-20060326.26-fast_snid,35.33,0.51
sn1998bp-19980531.40-fast_snid,30.03,0.39
sn1994Q-19940605.35-fast_snid,18.05,0.64
sn2003iv-20040118.21-mmt_snid,77.24,3.54
sn2003kc-20031128.53-fast_snid,-1.25,0.18
sn2003du-20030706.19-fast_snid,43.92,0.89
sn1998V-19980321.51-fast_snid,-0.91,0.15
sn1998bn-19980504.25-fast_snid,-1.51,0.15
sn2002cf-20020415.30-fast_snid,-1.42,0.17
sn2002ar-20020320.28-fast_snid,20.09,1.20
sn2003ez-20030607.16-fast_snid,-1.70,0.14
sn2002bo-20020604.17-fast_snid,43.83,1.40
snf20080514-002-20080611.16-fast_snid,27.44,0.65
sn1997do-19971106.51-fast_snid,-1.93,0.15
sn2006cf-20060519.25-fast_snid,-0.70,0.16
sn2002dp-20020712.41-fast_snid,27.71,0.60
sn2004as-20040328.22-fast_snid,5.73,0.22
sn2003cq-20030408.26-fast_snid,-1.37,0.17
sn2008A-20080111.19-fast_snid,0.14,0.91
sn1999dq-19991011.45-fast_snid,31.98,0.44
sn2002cd-20020415.49-fast_snid,-1.41,0.16
sn2001bf-20010529.37-fast_snid,12.71,0.21
sn2007nq-20071031.24-fast_snid,2.95,0.18
sn2007ci-20070524.19-fast_snid,-0.55,0.17
sn1996X-19960521.22-fast_snid,31.95,0.42
sn2006cm-20060529.46-fast_snid,-1.24,0.19
sn1998bn-19980428.24-fast_snid,-1.98,0.15
sn2002jy-20030129.10-mmt_snid,33.02,0.41
sn2003du-20030702.16-fast_snid,41.44,0.74
sn1999ac-19990411.48-fast_snid,30.04,0.39
sn2007ca-20070513.21-fast_snid,-0.04,0.16
sn1997dt-19971125.11-fast_snid,-1.79,0.16
sn1998V-19980419.50-fast_snid,33.64,0.43
sn1994M-19940612.22-mmt_snid,31.02,0.65
sn2005am-20050517.14-fast_snid,68.82,10.57
sn1995ak-19951123.38-fast_snid,31.58,0.41
sn2002di-20020612.33-fast_snid,6.55,0.77
sn2007A-20070109.12-fast_snid,-1.55,0.16
sn2002cr-20020512.19-fast_snid,-1.79,0.16
sn2002fk-20021009.36-fast_snid,2.26,0.27
sn1996ca-19970110.10-fast_snid,31.67,0.46
sn2002ar-20020213.48-fast_snid,0.24,0.17
sn1998dm-19980916.41-fast_snid,11.54,0.30
sn2004as-20040416.27-fast_snid,31.39,0.41
sn1998ex-19981130.51-fast_snid,35.47,0.47
sn2004as-20040313.30-fast_snid,-1.38,0.17
sn2003kf-20031202.36-fast_snid,-2.29,0.17
sn2002dj-20020618.17-fast_snid,-1.35,0.16
sn1999by-19990509.18-fast_snid,0.27,0.97
sn2000dm-20000925.11-fast_snid,-1.90,0.16
sn1998aq-19980504.26-fast_snid,-0.11,0.17
sn1999dq-19991213.24-fast_snid,36.88,1.01
sn2007bd-20070407.18-fast_snid,-2.05,0.17
sn2005eq-20051107.38-fast_snid,31.53,0.47
sn2004ef-20040907.30-fast_snid,-2.34,0.22
sn2000cn-20000803.24-fast_snid,42.30,0.70
sn2007au-20070320.20-fast_snid,-1.14,0.16
sn2005eq-20051007.40-fast_snid,-2.29,0.23
sn2004L-20040130.33-fast_snid,1.92,0.19
sn1997ct-19970701.29-fast_snid,37.19,0.57
sn2007bd-20070418.22-fast_snid,-0.59,0.16
snf20080522-000-20080603.19-fast_snid,-2.49,0.36
sn1998dx-19980917.13-fast_snid,-0.78,0.16
sn2003ch-20030325.16-fast_snid,-2.06,0.16
sn2001ep-20011022.43-fast_snid,1.58,0.17
sn2007su-20080103.12-fast_snid,9.49,0.30
sn2006H-20060206.21-fast_snid,24.90,0.55
sn2007bc-20070516.19-fast_snid,31.60,0.39
sn2005hk-20051125.22-fast_snid,30.52,0.43
sn2006N-20060127.24-fast_snid,-0.76,0.17
sn2004bd-20040422.36-fast_snid,26.68,0.52
sn1998bu-19980621.16-fast_snid,31.92,0.45
sn1994D-19940317.35-fast_snid,-1.94,0.15
sn1998bp-19980504.39-fast_snid,0.72,0.17
sn2007ae-20070225.54-fast_snid,-0.56,0.18
sn2003ag-20030329.35-mmt_snid,33.68,0.45
sn2005ke-20051206.25-fast_snid,21.80,0.86
sn1998aq-19980626.18-fast_snid,44.82,0.91
sn2001eh-20011019.39-fast_snid,33.19,0.42
sn2003ek-20030527.38-fast_snid,5.77,0.23
sn1999ej-19991102.20-fast_snid,-1.11,0.15
sn2003iv-20031020.40-fast_snid,-1.37,0.16
sn1994M-19940514.29-mmt_snid,15.44,0.41
sn2005hf-20051106.34-fast_snid,19.27,2.02
sn2003fd-20030624.21-fast_snid,3.65,0.23
sn1994D-19940407.42-fast_snid,29.85,0.67
snf20080522-000-20080609.18-fast_snid,-0.03,0.26
sn1998bu-19980622.16-fast_snid,32.41,0.48
sn1996X-19960510.25-fast_snid,31.86,0.50
sn2005mz-20060103.13-fast_snid,-1.16,0.17
sn2006ou-20061126.52-fast_snid,33.70,0.43
sn1999gm-20000105.43-fast_snid,31.62,0.48
sn1999by-19990513.18-fast_snid,26.88,6.83
sn2001fe-20011224.37-fast_snid,33.83,0.58
sn1999gh-20000212.30-fast_snid,58.73,1.86
sn2003in-20031121.27-ldss2_snid,53.54,2.16
sn2004fu-20041121.09-fast_snid,-0.88,0.16
sn2001ep-20011021.43-fast_snid,0.81,0.17
sn2007co-20070609.33-fast_snid,-2.06,0.16
sn2006bt-20060508.31-fast_snid,-0.13,0.20
sn2008ar-20080316.47-fast_snid,1.76,0.17
sn2006lf-20061030.41-fast_snid,-1.90,0.18
sn2002jy-20030101.10-fast_snid,-1.01,0.16
sn1997dt-19971204.11-fast_snid,-0.98,0.16
sn2008bf-20080410.28-fast_snid,13.15,0.62
sn2006ac-20060321.35-fast_snid,33.52,0.43
sn2006cf-20060520.16-fast_snid,-0.34,0.18
sn1997bp-19970530.18-fast_snid,34.49,0.92
sn2004ef-20040908.35-fast_snid,-3.01,0.26
sn2001fu-20011107.51-fast_snid,29.71,0.37
sn1995bd-19960115.24-fast_snid,11.80,0.19
sn2006sr-20061222.12-fast_snid,-1.52,0.15
sn2000cx-20000927.36-fast_snid,45.27,2.08
sn2006lf-20061119.35-fast_snid,23.73,0.78
sn2007F-20070126.43-fast_snid,-0.90,0.17
sn2002bz-20020414.31-fast_snid,11.32,0.59
sn2002I-20020122.54-fast_snid,33.60,0.46
sn1998dk-19980910.40-fast_snid,9.04,0.17
sn2003cg-20030331.21-fast_snid,-1.22,0.16
sn2007bm-20070511.16-fast_snid,4.59,0.16
sn2006bb-20060402.20-fast_snid,15.07,0.31
sn2001cp-20010721.21-fast_snid,25.40,0.61
sn2005cf-20050706.23-fast_snid,31.68,0.50
sn2002fk-20021005.42-fast_snid,-1.14,0.15
sn1994ae-19941209.50-fast_snid,7.67,0.26
sn2004at-20040328.20-fast_snid,-1.93,0.16
sn2005el-20050929.48-fast_snid,-2.03,0.16
sn1999aa-19990216.24-fast_snid,-6.15,0.32
sn2002ck-20020505.37-fast_snid,-0.76,0.15
sn2003ae-20030210.34-fast_snid,13.19,0.19
sn2006X-20060303.41-fast_snid,13.42,0.23
sn2004L-20040214.46-fast_snid,26.12,1.04
sn1998dh-19980917.40-fast_snid,36.08,0.47
sn2001iq-20011223.08-fast_snid,-1.07,0.17
sn2002cr-20020515.28-fast_snid,-1.51,0.15
sn2007qe-20071218.14-fast_snid,21.33,0.54
sn2007H-20070117.35-fast_snid,16.80,0.54
sn2008ar-20080314.29-fast_snid,-0.18,0.17
sn2007if-20071105.34-fast_snid,37.76,0.65
sn1997br-19970414.31-fast_snid,-7.19,0.34
sn2003cg-20030410.20-fast_snid,10.37,0.23
sn2007le-20071103.17-fast_snid,6.01,0.21
sn2003du-20030627.28-fast_snid,38.45,0.62
sn2004gs-20041220.44-fast_snid,4.26,0.19
sn2002kf-20030105.30-fast_snid,-0.60,0.16
sn2007bc-20070407.24-fast_snid,-1.40,0.16
sn2007af-20070311.45-fast_snid,-1.73,0.17
sn2003kf-20031204.43-fast_snid,-2.19,0.17
sn2007qe-20071214.11-fast_snid,18.16,0.54
sn2002fb-20021009.34-fast_snid,29.81,0.46
sn1996bo-19961111.27-fast_snid,15.20,0.39
sn2005M-20050209.33-fast_snid,0.10,0.16
sn2006le-20061031.45-fast_snid,-3.05,0.21
sn1998eb-19980919.49-fast_snid,38.91,1.14
sn1994ae-19951202.47-mmt_snid,234.73,39.23
sn1998co-19980627.46-fast_snid,1.20,0.18
sn2001G-20010324.19-fast_snid,34.65,1.09
snf20080623-001-20080730.24-mmt_snid,31.12,0.41
sn2006lf-20061221.21-fast_snid,51.07,1.40
sn2007sw-20071231.51-fast_snid,-1.22,0.18
sn2003it-20031022.26-fast_snid,-1.76,0.16
sn1997cw-19970714.46-fast_snid,16.62,1.02
sn2001ep-20011118.47-fast_snid,29.84,0.37
sn1999by-19990516.17-fast_snid,8.79,1.50
sn2006ot-20061127.30-fast_snid,-0.03,0.24
sn2006H-20060131.11-fast_snid,26.25,0.45
sn2005mz-20060123.15-fast_snid,27.37,0.40
sn2005kc-20051223.08-fast_snid,30.44,0.36
sn2001gc-20011205.35-fast_snid,2.86,0.24
sn1994ae-19941228.49-fast_snid,34.71,0.47
snf20080720-001-20080724.44-fast_snid,-1.44,0.15
sn2002hw-20021114.10-fast_snid,-1.96,0.16
sn1998bp-19980501.47-fast_snid,-0.60,0.16
sn2004db-20040710.46-fast_snid,57.23,2.31
sn2006ac-20060225.38-fast_snid,12.53,0.28
sn2001fe-20020109.43-fast_snid,36.46,0.82
sn2007su-20071231.09-fast_snid,1.08,0.21
sn2001ep-20011107.39-fast_snid,31.02,0.41
sn1998bu-19980518.16-fast_snid,-2.01,0.16
sn2004gs-20041219.42-fast_snid,3.77,0.35
sn1997dt-19971228.12-fast_snid,32.90,0.41
sn2007bj-20070422.41-fast_snid,26.80,3.68
sn2001eh-20011013.33-fast_snid,28.81,0.54
sn2005am-20050407.17-fast_snid,31.50,0.39
sn2007cb-20070510.25-fast_snid,28.11,1.34
sn2006le-20061121.37-fast_snid,15.04,0.62
sn1995D-19950228.26-fast_snid,1.33,0.17
sn2003U-20030129.53-mmt_snid,-1.60,0.17
sn2003cg-20030326.30-fast_snid,-1.81,0.16
sn2007ca-20070614.23-fast_snid,33.42,0.43
sn1998eg-19981117.18-fast_snid,31.76,0.49
sn1995al-19951124.51-mmt_snid,19.12,0.64
sn2003W-20030201.35-fast_snid,-3.56,0.22
sn2003fa-20030704.24-fast_snid,24.05,0.94
sn2005na-20060130.24-fast_snid,31.94,0.44
sn1994D-19940313.31-fast_snid,-1.81,0.17
sn2005cf-20050712.18-fast_snid,31.14,0.39
sn1995D-19950226.28-fast_snid,-0.04,0.16
sn2005cr-20050628.19-fast_snid,-3.25,0.36
sn1999ef-19991016.30-fast_snid,10.84,0.42
sn2007S-20070310.28-fast_snid,31.36,0.50
sn2003D-20030130.33-fast_snid,19.09,1.65
sn2002br-20020315.27-fast_snid,5.37,0.18
sn2003hu-20031002.13-fast_snid,24.03,11.29
sn2007ba-20070412.47-fast_snid,2.01,0.24
sn2008C-20080402.14-mmt_snid,53.51,2.35
sn2002cx-20020520.18-fast_snid,-5.43,0.38
sn1998bu-19981125.54-fast_snid,195.97,12.99
sn2003cg-20030325.24-fast_snid,-1.86,0.17
snf20080514-002-20080606.33-mmt_snid,19.80,0.66
sn2008A-20080105.08-fast_snid,-5.57,0.55
sn2002fk-20021103.37-mmt_snid,31.44,0.37
sn1994D-19940401.28-fast_snid,18.30,0.74
sn2005mz-20060201.15-fast_snid,28.91,0.55
sn1996by-19970131.24-fast_snid,39.49,0.69
sn2006sr-20061224.09-fast_snid,-1.12,0.15
sn2005eu-20051109.30-fast_snid,24.59,0.83
sn1999aa-19990407.15-fast_snid,33.56,0.44
sn2002bo-20020316.34-fast_snid,-0.76,0.15
sn2008ar-20080308.43-fast_snid,-2.13,0.17
sn1995bd-19960317.12-mmt_snid,46.62,0.96
sn2007le-20071108.16-fast_snid,15.14,0.44
sn1998cs-19980719.23-fast_snid,1.23,0.17
sn2007hj-20070903.28-fast_snid,-1.42,0.17
sn1998bu-19980630.17-fast_snid,36.16,0.61
sn2006H-20060128.11-fast_snid,27.02,0.45
sn1999dq-19990917.46-fast_snid,-1.07,0.15
sn2002bf-20020319.33-fast_snid,14.72,0.21
sn2003D-20030112.44-fast_snid,29.82,0.42
sn2002ar-20020215.47-fast_snid,3.26,0.21
sn2007fs-20070719.43-fast_snid,-0.26,0.16
sn1999by-19990522.14-fast_snid,34.14,0.58
sn1999aa-19990312.29-fast_snid,21.91,0.85
sn2008Y-20080229.35-fast_snid,30.20,0.54
sn1994D-19940410.26-fast_snid,30.57,0.45
sn1994Q-19940612.32-mmt_snid,24.50,1.87
sn2002cd-20020507.45-fast_snid,14.91,0.17
sn2003iu-20031122.19-fast_snid,28.46,0.49
sn2005eq-20051025.38-fast_snid,24.91,1.49
sn2006ev-20060916.23-fast_snid,0.47,0.17
sn2007af-20070415.33-fast_snid,31.39,0.37
sn2002bg-20020306.51-fast_snid,24.89,0.79
sn2006bq-20060427.35-fast_snid,0.66,0.20
sn1999gp-20000102.21-fast_snid,-2.32,0.24
sn2008bf-20080409.33-fast_snid,9.47,0.42
snf20080522-000-20080601.23-fast_snid,-5.92,0.33
sn2008ar-20080312.36-fast_snid,-1.16,0.17
sn1999gm-20000109.38-fast_snid,30.80,0.37
sn2007if-20080111.17-mmt_snid,72.62,1.81
sn2008A-20080110.09-fast_snid,-2.17,0.73
sn2005cf-20050615.24-fast_snid,-1.60,0.17
sn2001if-20011214.30-fast_snid,5.61,0.17
sn2007bj-20070609.28-fast_snid,39.71,1.20
sn2002hw-20021112.10-fast_snid,-1.72,0.15
sn1999gm-20000103.39-fast_snid,30.48,0.56
sn2002fk-20030112.19-fast_snid,74.03,2.70
sn2007F-20070116.54-fast_snid,-2.13,0.18
sn2007cg-20070514.24-fast_snid,2.43,0.30
sn1997bq-19970501.17-fast_snid,14.40,0.35
sn2007ci-20070608.18-fast_snid,29.85,0.45
sn2006sr-20061225.12-fast_snid,-0.84,0.16
sn2006cf-20060618.19-fast_snid,27.53,0.67
sn2004L-20040222.30-fast_snid,28.26,0.42
sn2008bf-20080508.31-fast_snid,33.66,0.47
sn2007au-20070326.15-fast_snid,1.33,0.18
sn2005cf-20050610.34-fast_snid,-2.75,0.19
sn2003D-20030129.32-mmt_snid,31.44,0.37
sn2003hu-20030921.16-fast_snid,-1.62,0.25
sn1999dq-19990911.46-fast_snid,-2.67,0.26
sn2003fa-20030606.36-fast_snid,-2.32,0.41
sn2003cq-20030509.15-fast_snid,27.60,1.18
sn2002ha-20021108.09-fast_snid,-0.00,0.17
sn2005el-20051007.48-fast_snid,-0.59,0.16
sn2006D-20060207.45-mmt_snid,30.22,0.60
sn2000dk-20000929.34-fast_snid,0.51,0.17
sn2006oa-20061123.13-fast_snid,-2.62,0.22
snf20080522-011-20080610.24-fast_snid,7.22,0.24
sn2006le-20061217.29-fast_snid,33.96,0.51
sn2008ar-20080229.39-fast_snid,-2.61,0.20
sn2006X-20060222.41-fast_snid,0.88,0.22
snf20080522-000-20080612.22-fast_snid,3.58,0.56
sn2001eh-20011021.30-fast_snid,33.40,0.43
sn2001eh-20010923.37-fast_snid,0.21,0.16
