Spectrum,Simple_Mean_Age,Simple_Mean_StdDev,Bootstrap_Median_Age,Bootstrap_Uncertainty
sn2007le-20071205.07-fast_corrected_snid,38.67,7.10,39.95,0.95
sn2002es-20020906.49-fast_corrected_snid,13.60,5.99,13.70,2.11
sn2005bc-20050403.33-fast_corrected_snid,-2.50,4.21,-0.75,0.84
sn2003kf-20031223.40-fast_corrected_snid,14.78,1.81,14.25,0.35
sn2008C-20080109.29-fast_corrected_snid,7.60,1.95,7.60,0.33
sn2003ic-20030927.38-fast_corrected_snid,1.13,6.80,1.05,2.13
sn1993ac-19931016.49-mmt_corrected_snid,4.16,3.42,5.25,0.91
sn2005am-20050402.19-fast_corrected_snid,28.38,2.70,28.85,0.86
sn2003ch-20030401.17-fast_corrected_snid,2.90,2.04,2.75,0.50
sn2002de-20020605.41-fast_corrected_snid,-4.62,2.97,-5.30,0.65
sn2001V-20010223.33-fast_corrected_snid,-6.98,2.09,-7.20,0.63
sn2002bo-20020310.26-fast_corrected_snid,-1.36,4.84,-0.75,1.18
sn2001V-20010328.29-fast_corrected_snid,20.12,3.90,19.90,1.01
sn2006S-20060129.51-fast_corrected_snid,-4.45,3.43,-4.85,0.84
sn2007F-20070210.39-fast_corrected_snid,15.82,2.35,15.50,0.65
sn1998aq-19980502.23-fast_corrected_snid,1.97,2.40,1.25,0.64
sn2000cf-20000511.34-fast_corrected_snid,1.30,2.95,1.00,0.61
sn2006X-20060309.30-fast_corrected_snid,17.59,4.87,17.90,0.82
sn1999dq-19990918.45-fast_corrected_snid,1.76,2.10,0.50,0.68
sn2000dk-20001124.20-fast_corrected_snid,63.15,6.81,60.85,1.01
sn2005M-20050202.34-fast_corrected_snid,-2.91,4.86,-2.80,1.18
sn2007ci-20070524.19-fast_corrected_snid,-1.62,3.39,-1.35,0.61
sn2006et-20060922.37-fast_corrected_snid,4.04,2.54,4.80,0.41
sn2003it-20031030.22-fast_corrected_snid,6.20,1.42,6.30,0.22
sn1998bu-19980518.16-fast_corrected_snid,-0.94,2.27,-0.45,0.55
sn2005ke-20051206.25-fast_corrected_snid,16.30,4.14,15.80,1.35
sn2006cp-20060604.24-fast_corrected_snid,-5.25,3.40,-4.60,1.14
sn2005eu-20051109.30-fast_corrected_snid,18.68,2.69,18.35,0.73
sn2001V-20010325.21-fast_corrected_snid,19.07,2.40,18.30,0.56
sn1998bu-19980627.20-fast_corrected_snid,42.07,4.04,41.15,0.71
sn2001ex-20011018.51-fast_corrected_snid,-2.35,2.58,-2.50,0.81
sn1999by-19990522.14-fast_corrected_snid,35.78,9.86,37.50,1.74
sn1997bp-19970411.30-fast_corrected_snid,0.86,3.98,2.05,0.70
sn2002jg-20021206.17-fast_corrected_snid,2.48,2.44,2.60,0.56
sn2000fa-20010121.36-fast_corrected_snid,38.40,6.28,39.60,1.02
sn2007al-20070321.33-fast_corrected_snid,16.02,3.16,15.30,0.98
sn2007ca-20070518.32-fast_corrected_snid,9.47,1.37,9.35,0.21
sn2003W-20030131.39-fast_corrected_snid,-4.29,2.43,-4.60,0.72
sn2003du-20030609.23-mmt_corrected_snid,34.06,3.93,33.85,0.90
sn2007le-20080101.11-fast_corrected_snid,71.92,11.08,71.05,2.72
sn1997do-19971102.46-fast_corrected_snid,-3.04,3.91,-2.35,0.69
sn1998ab-19980502.26-fast_corrected_snid,22.96,5.78,22.30,0.84
sn2005eq-20051107.38-fast_corrected_snid,22.88,3.25,22.20,0.98
sn2006N-20060201.21-fast_corrected_snid,6.62,1.63,6.45,0.30
sn2006cj-20060602.21-fast_corrected_snid,7.28,3.01,7.10,0.53
sn2004gs-20041215.48-fast_corrected_snid,2.81,2.46,3.05,0.62
sn1998es-19981116.25-fast_corrected_snid,-7.00,2.87,-5.67,0.59
sn2004ef-20040908.35-fast_corrected_snid,-5.35,4.61,-6.00,1.16
sn2008Z-20080213.33-fast_corrected_snid,-3.25,3.62,-2.92,1.01
sn1997cn-19970602.36-fast_corrected_snid,24.77,4.79,25.85,0.74
sn1994ae-19951202.47-mmt_corrected_snid,231.89,136.52,-1.00,-1.00
sn2001gc-20011219.48-fast_corrected_snid,18.14,2.90,18.70,0.64
sn2001da-20010912.32-fast_corrected_snid,56.17,6.09,55.65,1.45
sn2005am-20050310.21-fast_corrected_snid,2.46,2.12,1.55,0.69
sn2004at-20040327.33-fast_corrected_snid,-1.05,3.29,-1.55,0.61
sn2001ep-20011024.43-fast_corrected_snid,5.89,1.42,6.60,0.29
sn2007ca-20070510.23-fast_corrected_snid,1.12,2.67,-0.05,0.73
sn2005eu-20051007.38-fast_corrected_snid,-4.25,4.08,-3.30,1.49
sn1999dq-19991112.31-fast_corrected_snid,42.08,13.21,45.10,3.26
sn2006gr-20061123.16-fast_corrected_snid,38.05,10.10,39.40,1.51
sn2005M-20050214.29-fast_corrected_snid,8.25,1.56,8.30,0.42
sn1999gh-20000205.33-fast_corrected_snid,73.90,16.31,70.85,2.10
sn2004L-20040226.27-fast_corrected_snid,29.20,5.66,29.15,0.74
sn2006le-20061216.33-fast_corrected_snid,36.36,5.42,37.55,0.90
sn2006al-20060226.29-fast_corrected_snid,3.17,2.29,2.85,0.55
sn2003cg-20030330.23-fast_corrected_snid,-0.87,2.92,-0.90,0.56
sn2006cf-20060519.25-fast_corrected_snid,0.51,2.77,1.25,0.93
sn2001en-20011014.34-fast_corrected_snid,0.46,4.26,0.80,0.82
sn2008R-20080202.13-fast_corrected_snid,3.65,1.70,3.65,0.43
sn2003fa-20030706.28-fast_corrected_snid,17.73,2.66,17.90,0.46
sn2001fh-20011115.09-fast_corrected_snid,3.31,2.22,3.55,0.34
sn2000ce-20000512.15-fast_corrected_snid,7.85,1.53,7.45,0.23
sn2008C-20080105.27-fast_corrected_snid,4.08,2.78,4.60,0.54
sn2001G-20010301.45-fast_corrected_snid,38.49,5.96,38.65,0.99
sn1999aa-19990216.24-fast_corrected_snid,-7.57,2.61,-7.20,0.70
sn2006S-20060128.50-fast_corrected_snid,-4.88,3.58,-4.50,0.92
sn1998ec-19980929.52-fast_corrected_snid,-2.15,3.45,-1.35,0.90
sn1995al-19951222.47-fast_corrected_snid,44.23,4.29,43.65,1.14
sn2001V-20010524.30-mmt_corrected_snid,68.14,5.70,68.25,1.52
sn2005ke-20051226.21-fast_corrected_snid,33.88,6.90,34.10,1.71
sn1996Z-19960528.16-fast_corrected_snid,15.35,2.04,15.90,0.39
sn2007ba-20070409.43-fast_corrected_snid,-0.88,4.07,-0.05,0.95
sn1999dq-19990907.48-fast_corrected_snid,-6.31,2.16,-7.20,0.65
sn1998es-19981125.22-fast_corrected_snid,-3.62,3.44,-3.00,1.24
sn1999gp-20000303.12-fast_corrected_snid,41.93,6.30,41.90,1.07
sn2003du-20030508.30-fast_corrected_snid,-1.29,2.16,-0.45,0.60
sn1999ac-19990507.38-fast_corrected_snid,42.20,6.71,38.65,1.44
sn2003du-20030525.21-fast_corrected_snid,17.32,2.56,16.95,0.50
sn2003du-20030601.30-fast_corrected_snid,21.89,4.17,21.85,0.98
sn1997dt-19971123.19-fast_corrected_snid,-3.19,3.40,-3.25,0.92
sn2008L-20080202.15-fast_corrected_snid,2.68,3.32,3.90,0.63
sn2006ac-20060222.43-fast_corrected_snid,7.60,1.30,7.95,0.21
sn2001bf-20010714.27-fast_corrected_snid,59.66,6.02,58.95,1.07
sn2008bf-20080406.29-fast_corrected_snid,5.90,2.12,5.50,0.33
sn2003kf-20040117.23-fast_corrected_snid,41.06,4.18,40.95,0.80
sn2008Z-20080209.31-fast_corrected_snid,-4.92,3.02,-4.30,1.10
sn1999by-19990519.14-fast_corrected_snid,18.70,7.67,16.45,2.32
sn2007kk-20071109.40-fast_corrected_snid,30.59,5.42,29.65,1.22
sn2007ba-20070412.47-fast_corrected_snid,4.73,4.14,4.95,0.39
sn1998de-19980804.46-fast_corrected_snid,4.49,3.75,4.45,0.53
sn2004at-20040427.26-fast_corrected_snid,28.19,5.57,29.15,0.96
sn2007hj-20070904.36-fast_corrected_snid,-2.73,2.76,-2.35,1.00
sn2008Z-20080311.28-fast_corrected_snid,17.89,1.93,17.10,0.51
sn2007le-20080112.08-fast_corrected_snid,85.31,11.49,82.40,3.08
sn1999gp-20000105.10-fast_corrected_snid,-1.98,2.70,-2.05,0.67
sn2007hj-20070909.35-fast_corrected_snid,0.40,4.52,2.45,0.83
sn2007fb-20070720.46-fast_corrected_snid,15.71,3.34,16.15,0.54
sn2007au-20070321.14-fast_corrected_snid,-1.68,3.13,-1.30,0.56
sn2006lf-20061101.40-fast_corrected_snid,-4.12,3.55,-2.60,0.65
sn1998es-19981120.26-fast_corrected_snid,-4.43,4.85,-3.65,1.11
sn1994ae-19941129.51-fast_corrected_snid,0.49,2.58,0.35,0.63
sn2008C-20080212.27-fast_corrected_snid,28.95,6.57,28.45,0.93
sn1998aq-19980428.26-fast_corrected_snid,-1.06,3.04,-0.78,0.72
sn2003kc-20031229.44-fast_corrected_snid,25.16,6.08,25.00,1.17
sn2006le-20061115.44-fast_corrected_snid,5.40,2.29,5.80,0.27
sn1998bp-19980503.45-fast_corrected_snid,3.36,2.41,3.15,0.38
sn2000fa-20010104.36-fast_corrected_snid,18.82,2.27,18.40,0.62
sn1999by-19990507.14-fast_corrected_snid,-1.08,4.48,-1.25,1.83
sn2002de-20020602.24-fast_corrected_snid,-4.85,2.98,-5.35,0.68
sn2006cz-20060620.24-fast_corrected_snid,-0.71,3.69,-0.70,1.01
sn1998bu-19980602.20-fast_corrected_snid,14.23,1.77,13.40,0.45
sn2001da-20010714.46-fast_corrected_snid,-2.34,3.72,-2.50,0.92
sn2005am-20050314.23-fast_corrected_snid,6.45,1.55,7.00,0.33
sn2003cg-20030427.18-fast_corrected_snid,30.25,4.80,30.60,0.65
sn2003ch-20030428.15-fast_corrected_snid,30.02,4.68,30.15,0.84
sn1998dx-19980914.18-fast_corrected_snid,-1.58,3.20,-0.25,0.61
sn2001ep-20011224.33-fast_corrected_snid,59.88,3.63,59.90,0.87
sn2002aw-20020217.51-fast_corrected_snid,-3.10,2.15,-2.85,0.56
sn1999aa-19990411.22-fast_corrected_snid,38.94,4.94,39.00,0.95
sn2007le-20071116.14-fast_corrected_snid,17.43,3.10,17.80,0.48
sn1997cn-19970530.20-fast_corrected_snid,27.02,5.40,26.55,0.85
sn2007co-20070613.39-fast_corrected_snid,-1.00,4.74,-1.30,1.04
sn2002cd-20020422.49-fast_corrected_snid,2.25,4.48,2.65,1.32
sn1999aa-19990323.19-fast_corrected_snid,24.25,3.99,24.95,0.65
sn2003it-20031026.25-fast_corrected_snid,1.77,2.06,1.75,0.53
sn2001ay-20010523.33-fast_corrected_snid,22.73,2.39,23.45,0.71
sn1999dq-19991014.32-fast_corrected_snid,30.07,4.49,29.75,1.01
sn2001V-20010226.30-fast_corrected_snid,-5.62,1.83,-5.45,0.56
sn2006le-20061121.37-fast_corrected_snid,12.48,1.32,12.30,0.31
sn1998bu-19980623.17-fast_corrected_snid,36.03,2.93,36.00,0.86
sn1994D-19940516.18-fast_corrected_snid,64.55,3.57,62.52,1.36
sn1996bl-19961108.24-fast_corrected_snid,18.15,2.69,17.05,0.79
sn2002bo-20020315.25-fast_corrected_snid,0.44,3.95,2.05,0.66
sn2006bt-20060501.39-fast_corrected_snid,-6.45,4.07,-4.95,0.75
sn2007hj-20070905.30-fast_corrected_snid,-1.81,3.23,-1.27,0.81
sn1995D-19950525.20-fast_corrected_snid,88.94,6.57,86.80,1.64
sn2006gr-20061028.16-fast_corrected_snid,19.32,2.29,19.90,0.63
sn2006cj-20060601.28-fast_corrected_snid,6.67,1.55,6.05,0.35
sn2001V-20010326.24-fast_corrected_snid,19.57,2.48,18.65,0.74
sn2006N-20060131.22-fast_corrected_snid,3.50,3.52,5.40,0.41
sn1999aa-19990219.28-fast_corrected_snid,-5.51,2.64,-5.00,0.54
sn2002do-20020619.43-fast_corrected_snid,-1.76,4.13,-1.20,0.61
sn2002bo-20020421.13-fast_corrected_snid,33.47,4.71,33.75,0.89
sn1999ac-19990324.51-fast_corrected_snid,7.96,1.61,8.20,0.29
sn2006gr-20061023.18-fast_corrected_snid,17.29,2.60,16.45,0.65
sn2007kk-20071015.32-fast_corrected_snid,5.95,1.70,5.45,0.62
sn2003W-20030303.37-fast_corrected_snid,23.39,13.30,20.95,1.31
sn2006le-20061214.30-fast_corrected_snid,34.48,5.01,34.25,1.29
sn2002he-20021213.47-fast_corrected_snid,37.16,4.02,37.20,0.96
sn1996Z-19960518.18-fast_corrected_snid,3.64,3.51,5.10,0.50
sn2001V-20010317.45-fast_corrected_snid,11.37,1.16,11.30,0.23
sn2001G-20010223.29-fast_corrected_snid,33.68,4.83,34.20,0.94
sn2004ef-20040915.30-fast_corrected_snid,-2.89,5.03,-1.50,1.76
sn1997dt-19971129.11-fast_corrected_snid,-0.54,2.72,-0.25,0.50
sn2006H-20060206.21-fast_corrected_snid,24.72,3.51,25.25,0.78
sn2007S-20070209.30-fast_corrected_snid,-3.21,5.50,-5.10,0.82
sn2006bq-20060427.35-fast_corrected_snid,2.10,4.48,1.75,1.13
sn1998dh-19980910.37-fast_corrected_snid,34.91,3.24,34.10,0.90
sn2003ic-20030929.35-fast_corrected_snid,5.39,6.36,7.75,0.62
sn1999dq-19990908.48-fast_corrected_snid,-5.39,1.93,-6.35,0.67
sn2006X-20060304.51-fast_corrected_snid,10.43,1.23,10.65,0.40
sn2001br-20010618.44-mmt_corrected_snid,28.75,4.44,28.20,0.71
sn1999ek-19991109.42-fast_corrected_snid,9.25,1.17,9.20,0.22
sn2003Y-20030203.31-fast_corrected_snid,0.68,3.81,-0.25,1.37
sn2000cf-20000512.36-fast_corrected_snid,1.34,3.39,1.80,0.68
sn2000dn-20001003.30-fast_corrected_snid,-1.62,3.89,-1.10,0.87
sn1998es-19981127.21-fast_corrected_snid,-2.21,3.22,-0.85,0.73
sn1998ab-19980601.22-fast_corrected_snid,28.72,8.26,26.10,2.13
sn2008Q-20080206.11-fast_corrected_snid,-2.21,2.13,-1.95,0.64
sn2003cq-20030407.36-fast_corrected_snid,-2.48,5.26,-1.60,1.00
sn1999gd-19991215.46-fast_corrected_snid,8.01,1.38,7.90,0.24
sn2002fk-20021212.19-fast_corrected_snid,71.50,8.76,68.45,2.07
sn1997bq-19970606.18-fast_corrected_snid,45.04,4.20,44.30,1.05
sn1997do-19971128.50-fast_corrected_snid,13.26,1.67,13.80,0.45
sn2003iv-20031022.38-fast_corrected_snid,-0.66,2.20,-0.65,0.43
sn2004L-20040221.36-fast_corrected_snid,27.18,3.93,27.95,1.10
sn2006lf-20061113.36-fast_corrected_snid,6.10,1.42,6.25,0.28
sn2007ci-20070519.18-fast_corrected_snid,-1.74,2.75,-0.70,0.54
sn2007cq-20070624.45-fast_corrected_snid,-3.21,4.24,-3.40,0.96
sn2001cp-20010725.26-fast_corrected_snid,21.10,4.15,20.20,1.20
sn2002dj-20020614.17-fast_corrected_snid,0.48,3.63,1.45,0.88
sn1999cl-19990721.17-fast_corrected_snid,38.05,5.24,39.15,1.01
sn2002cs-20020508.47-fast_corrected_snid,-3.71,4.05,-3.85,1.04
sn2004fu-20041209.10-fast_corrected_snid,27.54,7.01,27.85,1.16
sn1999aa-19990417.16-fast_corrected_snid,48.12,4.97,48.75,1.41
sn2002dj-20020619.18-fast_corrected_snid,-1.89,2.79,-1.48,0.53
sn2007F-20070126.43-fast_corrected_snid,1.78,2.30,1.55,0.56
sn2006S-20060202.47-fast_corrected_snid,-3.05,3.23,-2.15,0.90
sn2008Z-20080211.30-fast_corrected_snid,-4.16,4.38,-3.22,1.28
sn2005cf-20050614.31-fast_corrected_snid,-2.56,3.54,-2.50,0.79
sn2002do-20020710.33-fast_corrected_snid,28.29,4.17,28.35,1.00
sn2008bf-20080409.33-fast_corrected_snid,9.23,0.95,9.25,0.17
sn2003fa-20030701.39-fast_corrected_snid,12.98,1.61,12.70,0.36
sn1997cn-19970529.27-fast_corrected_snid,13.79,11.08,12.15,2.42
sn2003gn-20030729.37-fast_corrected_snid,-4.11,4.39,-4.10,0.67
sn2002fk-20020927.46-fast_corrected_snid,-1.40,2.04,-0.65,0.65
sn2007fs-20070902.29-fast_corrected_snid,51.33,5.46,51.55,1.18
sn2006le-20061111.39-fast_corrected_snid,0.74,3.69,1.20,0.73
sn2003cg-20030402.17-ldss2_corrected_snid,1.75,2.38,1.95,0.62
sn2001G-20010324.19-fast_corrected_snid,63.46,7.40,61.20,1.99
sn2007af-20070512.29-fast_corrected_snid,57.12,3.77,56.55,1.06
sn2002es-20020912.46-fast_corrected_snid,30.73,7.63,29.65,2.25
sn2007le-20071017.25-fast_corrected_snid,-6.50,3.43,-6.70,0.98
sn2002fk-20030129.11-fast_corrected_snid,110.28,17.08,99.05,5.03
sn2002bf-20020311.21-fast_corrected_snid,6.67,2.42,7.50,0.35
sn2001fh-20011109.10-fast_corrected_snid,-2.31,2.62,-2.50,0.82
sn2001N-20010217.39-fast_corrected_snid,26.80,2.75,27.50,0.75
sn2006cp-20060530.25-fast_corrected_snid,-4.66,4.60,-2.70,1.22
sn1994D-19940519.18-fast_corrected_snid,66.47,4.83,65.10,1.54
sn1999dq-19991011.45-fast_corrected_snid,28.66,6.15,28.00,1.50
sn1998ab-19980403.38-fast_corrected_snid,-1.00,-1.00,-1.00,-1.00
sn2007F-20070318.37-fast_corrected_snid,52.48,4.83,54.45,1.18
sn2008Z-20080214.34-fast_corrected_snid,-3.46,3.28,-2.60,1.06
sn2001bf-20010517.48-fast_corrected_snid,-3.85,4.41,-4.25,0.82
sn1998aq-19980624.19-fast_corrected_snid,58.80,5.30,58.55,0.89
sn2007ax-20070407.16-fast_corrected_snid,14.22,3.86,14.70,1.47
sn1998dx-19980924.16-fast_corrected_snid,8.29,1.05,8.20,0.24
sn2007af-20070524.30-fast_corrected_snid,68.83,6.86,67.30,2.22
sn1998ef-19981115.25-fast_corrected_snid,20.18,3.51,18.55,0.94
sn2008bf-20080607.19-fast_corrected_snid,78.30,8.02,73.70,2.57
sn2002cr-20020503.29-fast_corrected_snid,-4.63,4.57,-3.35,1.15
sn1994T-19940612.19-fast_corrected_snid,-0.82,5.27,1.85,1.26
sn1998es-19990223.12-fast_corrected_snid,85.64,7.18,85.55,1.85
sn2007af-20070315.39-fast_corrected_snid,-0.45,3.49,-0.25,1.06
sn2006lf-20061028.51-fast_corrected_snid,-2.15,4.02,-1.85,0.88
sn2006H-20060130.16-fast_corrected_snid,26.21,3.72,26.90,0.89
sn2006X-20060227.44-fast_corrected_snid,7.92,1.19,7.40,0.38
sn2003hu-20031002.13-fast_corrected_snid,42.30,42.99,-1.00,-1.00
sn2005cf-20050704.23-fast_corrected_snid,20.45,4.32,19.45,0.96
sn1995E-19950308.16-mmt_corrected_snid,6.21,1.49,6.45,0.42
sn2003kf-20031202.36-fast_corrected_snid,-1.18,2.47,-0.75,0.70
sn2008Z-20080401.17-mmt_corrected_snid,37.16,7.52,38.45,1.06
sn2006sr-20061227.09-fast_corrected_snid,2.75,1.94,2.15,0.53
sn2003W-20030331.19-fast_corrected_snid,27.97,13.56,21.60,2.89
sn1997bq-19970412.13-fast_corrected_snid,0.35,3.55,1.20,0.98
sn1994ae-19950224.33-fast_corrected_snid,77.14,12.29,77.80,2.70
sn2006sr-20070110.12-fast_corrected_snid,16.79,2.65,16.75,0.69
sn2004L-20040217.35-fast_corrected_snid,25.32,6.66,25.90,1.65
sn1999ej-19991102.20-fast_corrected_snid,-0.11,2.02,-0.20,0.49
sn2004dt-20041020.44-fast_corrected_snid,63.91,6.02,63.20,1.49
sn1999ek-19991112.46-fast_corrected_snid,12.51,1.36,12.25,0.33
sn2003iv-20031019.38-fast_corrected_snid,-1.88,2.76,-2.30,0.89
sn2007hj-20070918.35-fast_corrected_snid,22.38,5.83,22.50,0.96
sn2003cg-20030409.23-fast_corrected_snid,8.00,1.35,8.00,0.21
sn2002fk-20021204.27-fast_corrected_snid,62.38,4.30,60.48,1.30
sn2006cj-20060529.26-fast_corrected_snid,1.12,5.33,3.30,0.73
sn2002ha-20021112.08-fast_corrected_snid,8.84,1.10,8.40,0.20
sn2004as-20040316.35-fast_corrected_snid,-4.13,4.17,-3.45,1.25
sn1999gp-20000107.13-fast_corrected_snid,-1.23,3.47,-0.55,0.67
sn2002bo-20020514.17-fast_corrected_snid,52.00,5.98,52.10,1.63
sn1999aa-19990413.14-fast_corrected_snid,43.30,3.91,42.70,1.18
sn2004as-20040324.34-fast_corrected_snid,-0.50,5.14,0.10,1.66
sn2001E-20010225.37-fast_corrected_snid,34.12,5.19,35.95,1.61
sn2007kk-20071031.34-fast_corrected_snid,18.91,2.64,18.05,0.49
sn2002ha-20021104.11-mmt_corrected_snid,-0.68,4.04,-0.75,0.76
sn1999aa-19990421.15-fast_corrected_snid,52.42,4.72,51.40,0.87
sn2006cj-20060528.19-fast_corrected_snid,3.39,2.18,2.35,0.84
sn2005eu-20051025.29-fast_corrected_snid,3.90,5.18,5.45,0.93
sn2004L-20040214.46-fast_corrected_snid,28.71,11.84,25.30,1.47
sn2006le-20061227.32-fast_corrected_snid,48.01,11.29,51.50,1.45
sn2006le-20061114.38-fast_corrected_snid,4.23,3.37,4.70,0.42
sn2003kf-20040130.29-fast_corrected_snid,55.44,4.55,55.60,1.09
sn1999aa-19990215.28-fast_corrected_snid,-7.83,2.68,-7.40,0.72
sn1996ai-19960620.17-fast_corrected_snid,-1.55,2.31,-1.10,0.43
sn1998ef-19981024.30-fast_corrected_snid,-2.76,3.04,-2.15,0.77
sn2005am-20050313.21-fast_corrected_snid,5.05,2.04,5.10,0.74
sn2005M-20050204.26-fast_corrected_snid,-3.05,4.65,-3.15,1.21
sn2005am-20050321.20-fast_corrected_snid,18.43,4.34,17.55,0.96
sn1997E-19970131.26-fast_corrected_snid,13.39,2.90,12.45,0.52
sn2008ar-20080307.38-fast_corrected_snid,-4.41,3.20,-4.55,0.86
sn2002de-20020617.23-fast_corrected_snid,8.79,1.12,8.90,0.25
sn1998aq-19980702.17-fast_corrected_snid,65.44,5.57,63.90,1.73
sn2004ef-20040910.27-fast_corrected_snid,-7.20,2.27,-7.50,0.69
sn1994D-19940317.35-fast_corrected_snid,-1.79,2.23,-1.80,0.68
sn1999ac-19990309.53-fast_corrected_snid,-0.98,3.51,-1.15,0.83
sn1999aa-19990309.25-fast_corrected_snid,14.39,1.38,14.00,0.35
sn2002bo-20030129.39-mmt_corrected_snid,222.01,64.59,214.20,14.17
sn2002bo-20020320.26-fast_corrected_snid,1.35,3.60,1.75,0.69
sn2004ef-20040907.30-fast_corrected_snid,-5.42,4.88,-6.85,1.05
sn1997dt-19971125.11-fast_corrected_snid,-2.66,2.35,-1.80,0.86
sn1998es-19990214.12-fast_corrected_snid,76.55,9.57,78.50,2.71
sn2001N-20010201.37-fast_corrected_snid,7.79,2.97,8.05,0.32
sn2001eh-20011021.30-fast_corrected_snid,34.22,3.72,34.60,0.85
sn2003ch-20030403.16-fast_corrected_snid,5.17,1.62,5.45,0.37
sn2007af-20070517.24-fast_corrected_snid,60.84,6.11,59.85,1.04
sn1998aq-19980621.18-fast_corrected_snid,56.71,4.22,56.00,1.45
sn1998bu-19980629.16-fast_corrected_snid,44.34,3.73,42.35,0.78
sn2000dn-20000929.29-fast_corrected_snid,-2.53,4.30,-2.65,0.91
sn1994ae-19941202.53-fast_corrected_snid,1.50,2.70,1.20,0.81
sn1998es-19981126.22-fast_corrected_snid,-2.51,3.31,-1.50,0.78
sn1999dq-19990904.48-fast_corrected_snid,-7.75,2.39,-7.70,0.58
sn2000ce-20000523.14-fast_corrected_snid,20.34,11.71,18.30,0.66
sn2006gr-20061002.26-fast_corrected_snid,-3.46,3.22,-3.40,0.77
sn2001ay-20010421.48-fast_corrected_snid,-1.21,3.75,-3.35,1.49
sn2006le-20061030.43-fast_corrected_snid,-7.46,2.59,-7.25,0.86
sn2004L-20040127.40-fast_corrected_snid,0.08,3.76,0.10,1.20
sn2005cf-20050712.18-fast_corrected_snid,31.41,5.69,30.75,1.01
sn2007al-20070314.26-fast_corrected_snid,-0.69,3.57,-0.55,1.39
sn2005kc-20051209.08-fast_corrected_snid,16.70,3.02,16.80,0.55
sn2005ke-20051208.26-fast_corrected_snid,27.52,3.53,28.65,0.60
sn2002de-20020706.18-fast_corrected_snid,25.62,5.97,27.62,2.41
sn1998bu-19980516.15-fast_corrected_snid,-2.59,2.91,-1.65,0.62
sn1997bp-19970429.26-fast_corrected_snid,14.88,2.99,15.70,0.73
sn1999ac-19990417.50-fast_corrected_snid,30.02,4.06,29.45,0.72
sn1996X-19960521.22-fast_corrected_snid,33.65,2.33,33.15,0.77
sn2001fe-20011119.47-fast_corrected_snid,2.15,2.42,2.30,0.49
sn2001ay-20010427.36-fast_corrected_snid,1.36,6.63,2.90,1.15
sn2002dj-20020618.17-fast_corrected_snid,-2.89,3.72,-1.75,0.46
sn1994D-19940602.18-fast_corrected_snid,87.97,6.45,87.60,1.61
sn2002bo-20020317.35-fast_corrected_snid,0.91,3.42,1.45,0.66
sn2007fs-20070720.44-fast_corrected_snid,4.46,2.70,4.10,0.44
sn2006le-20061031.45-fast_corrected_snid,-7.54,2.92,-6.95,0.84
sn1998es-19981123.30-fast_corrected_snid,-5.08,2.56,-3.65,1.05
sn2006S-20060207.43-mmt_corrected_snid,-1.27,3.11,-0.45,0.72
sn2006cf-20060524.21-fast_corrected_snid,3.69,2.13,4.05,0.53
sn2002bo-20020412.24-fast_corrected_snid,19.91,3.66,19.30,0.85
sn2008Z-20080210.33-fast_corrected_snid,-4.67,3.57,-3.90,1.06
sn2004as-20040328.22-fast_corrected_snid,7.00,1.91,7.00,0.25
sn1998es-19981115.25-fast_corrected_snid,-6.59,2.41,-7.10,0.74
sn2002bo-20020409.20-fast_corrected_snid,16.11,4.06,16.85,0.97
sn2007af-20070415.33-fast_corrected_snid,29.88,4.45,31.05,1.06
sn2007co-20070622.38-fast_corrected_snid,8.34,1.41,8.15,0.24
sn2008C-20080130.28-fast_corrected_snid,26.12,3.43,27.73,0.94
sn2001cp-20010721.21-fast_corrected_snid,18.27,2.14,18.20,0.43
sn2003ch-20030327.13-fast_corrected_snid,-2.44,2.61,-2.65,0.57
sn1998ec-19980930.50-fast_corrected_snid,-3.25,3.93,-2.33,1.16
sn2005am-20050317.23-fast_corrected_snid,9.97,1.85,10.35,0.47
sn2002cd-20020413.48-fast_corrected_snid,-4.44,4.40,-2.35,1.06
sn2005M-20050209.33-fast_corrected_snid,2.11,2.47,1.80,0.76
sn2001ep-20011218.31-fast_corrected_snid,55.62,4.70,54.70,1.20
sn1999gh-19991210.50-fast_corrected_snid,13.06,6.00,11.32,1.76
sn2006cf-20060520.16-fast_corrected_snid,0.01,3.24,-1.00,1.16
sn2002cd-20020421.49-fast_corrected_snid,2.71,3.26,2.75,1.16
sn2000cp-20000623.29-fast_corrected_snid,-1.44,2.29,-0.95,0.46
sn1998es-19981210.19-fast_corrected_snid,13.91,1.65,14.10,0.36
sn2002fb-20021005.37-fast_corrected_snid,18.04,8.17,16.10,1.97
sn2000dk-20001005.33-fast_corrected_snid,10.47,3.28,10.25,0.53
sn2004dt-20041015.34-fast_corrected_snid,59.91,3.72,58.75,1.00
sn2007co-20070610.39-fast_corrected_snid,-3.08,4.36,-2.70,0.75
sn1999dq-19991003.45-fast_corrected_snid,18.96,2.61,18.70,0.60
sn2007ax-20070418.19-fast_corrected_snid,14.07,5.56,13.00,1.53
sn2006gr-20061014.14-fast_corrected_snid,8.47,1.46,8.10,0.24
sn2001V-20010225.30-fast_corrected_snid,-6.29,2.09,-6.40,0.67
sn2001V-20010301.47-fast_corrected_snid,-4.43,2.98,-4.05,0.81
